hd,jcd,rno,lane,regno,racer_id,racer_name,p1_win
20240301,11,11,4,3820,3820,樫葉 次郎,0.011432854700516047
20240301,11,11,5,4368,4368,山口 隆史,0.005587119100133241
20240301,11,11,6,4809,4809,外崎 悟,0.034765005938415194
20240301,11,12,1,3024,3024,西島 義則,0.24239398060807993
20240301,11,12,2,4743,4743,木村 仁紀,0.07878794187315533
20240301,11,12,3,3158,3158,島川 光男,0.122082540527786
20240301,11,12,4,4732,4732,堀本 和也,0.12309564769721322
20240301,11,12,5,4926,4926,吉川 貴仁,0.09690673539450807
20240301,11,12,6,4561,4561,藤山 翔大,0.0024982692258660095
20240301,11,1,1,5157,5157,市川 健太,0.1379968372159794
20240301,11,1,2,3315,3315,広瀬 聖仁,0.023029990847647612
20240301,11,1,3,4252,4252,松下 哲也,0.0023121515733346976
20240301,11,1,4,4630,4630,岩永 雅人,0.13145004520358475
20240301,11,1,5,5302,5302,秋末 秦悟,0.000755924097822914
20240301,11,1,6,4640,4640,山ノ内 雅人,0.032684018689998304
20240301,11,2,1,4368,4368,山口 隆史,0.20232477444670863
20240301,11,2,2,3950,3950,石川 哲秀,0.15645028390457266
20240301,11,2,3,3381,3381,滝沢 芳行,0.05271615372964629
20240301,11,2,4,3584,3584,佐々木 英樹,0.008949006606310966
20240301,11,2,5,3957,3957,大谷 直弘,0.005045287104387543
20240301,11,2,6,4732,4732,堀本 和也,0.02029955531601284
20240301,11,3,1,4257,4257,古川 健,0.398177258764037
20240301,11,3,2,4926,4926,吉川 貴仁,0.08242661755835849
20240301,11,3,3,3714,3714,梶原 正,0.02150492015850389
20240301,11,3,4,4325,4325,新出 浩司,0.08539615272636535
20240301,11,3,5,4793,4793,金子 萌,0.07344053528610951
20240301,11,3,6,4319,4319,三宅 潤,0.001517716659415818
20240301,11,4,1,4918,4918,川島 拓郎,0.10080933127477003
20240301,11,4,2,4231,4231,鈴木 裕隆,0.15015769329461492
20240301,11,4,3,4302,4302,西野 翔太,0.06876454256477575
20240301,11,4,4,4593,4593,小坂 宗司,0.034981543814830374
20240301,11,4,5,4638,4638,小林 遼太,0.007156315252848757
20240301,11,4,6,3362,3362,間嶋 仁志,0.004245823860294894
20240301,11,5,1,4402,4402,乙藤 智史,0.05594429809200103
20240301,11,5,2,3808,3808,秋田 健太郎,0.0017339350293634267
20240301,11,5,3,4978,4978,山田 和佐,0.0014295676702091023
20240301,11,5,4,3776,3776,横井 健太,0.0265094565369078
20240301,11,5,5,4561,4561,藤山 翔大,0.1494342302746235
20240301,11,5,6,4252,4252,松下 哲也,0.025557666919531603
20240301,11,6,1,3158,3158,島川 光男,0.5392325052872139
20240301,11,6,2,4809,4809,外崎 悟,0.06864086452927494
20240301,11,6,3,5157,5157,市川 健太,0.022359414540359775
20240301,11,6,4,3934,3934,鋤柄 貴俊,0.026824521278176288
20240301,11,6,5,4167,4167,片岡 秀樹,0.001306517384163198
20240301,11,6,6,5319,5319,近藤 颯斗,0.0003697765219221219
20240301,11,7,1,3584,3584,佐々木 英樹,0.15781718898209143
20240301,11,7,2,3820,3820,樫葉 次郎,0.0497427887658439
20240301,11,7,3,4156,4156,浜野 孝志,0.049341811675394594
20240301,11,7,4,3024,3024,西島 義則,0.12349793671367981
20240301,11,7,5,4992,4992,廣瀬 篤哉,0.12294022399779739
20240301,11,7,6,3714,3714,梶原 正,0.006602971950154217
20240301,11,8,1,3957,3957,大谷 直弘,0.1742262587745849
20240301,11,8,2,4204,4204,柴田 大輔,0.0641955901827697
20240301,11,8,3,4743,4743,木村 仁紀,0.052234993674675975
