hd,jcd,rno,lane,regno,racer_id,motor_rate3,st_rank,decision4,tenji_rank,power_outer,power_inner,tenji_sec,wind_speed_m,power_lane,course_first_rate,kimarite_sashi,tenji_st,dash_attack_flag,kimarite_nuki,course_3rd_rate,wave_height_cm,kimarite_makuri_sashi,boat_rate3,boat_rate2,is_strong_wind,kimarite_makuri,racer_name,motor_rate2,is_crosswind,course_avg_st,outer_over_inner
20240328,04,7,3,5037,5037,41.06,4,SASHI,4,12.202666666666666,13.564666666666668,6.76,0.0,12.097,10.5,1.0,0.14,0,1.0,60.5,3.0,1.0,54.23,35.21,0,1.0,田頭 虎親,27.81,0,0.17,-1.3620000000000019
20240328,04,7,4,5106,5106,55.06,3,SASHI,3,12.202666666666666,13.564666666666668,6.75,0.0,14.27,10.7,1.0,0.05,1,1.0,35.7,3.0,0.0,49.14,37.14,0,1.0,山崎 祥,35.44,0,0.16,-1.3620000000000019
20240328,04,7,5,5289,5289,33.56,5,SASHI,1,12.202666666666666,13.564666666666668,6.67,0.0,9.558,7.6,1.0,0.24,0,0.0,15.3,3.0,0.0,47.83,35.4,0,0.0,佃 來紀,25.5,0,0.2,-1.3620000000000019
20240328,04,7,6,5111,5111,49.07,2,SASHI,2,12.202666666666666,13.564666666666668,6.71,0.0,12.78,3.4,0.0,0.04,0,0.0,37.9,3.0,0.0,53.33,37.04,0,1.0,三村 岳人,31.06,0,0.14,-1.3620000000000019
20240328,04,8,1,5232,5232,45.34,1,NIGE,1,12.774000000000001,12.702,,2.0,13.42,0.0,0.0,,0,0.0,25.0,3.0,0.0,52.7,33.78,0,0.0,樅山 拓馬,35.4,1,0.19,0.07200000000000095
20240328,04,8,2,5082,5082,47.13,1,NIGE,1,12.774000000000001,12.702,,2.0,12.259,9.0,2.0,,0,1.0,57.5,3.0,0.0,45.0,24.29,0,0.0,一色 凌雅,31.21,1,0.19,0.07200000000000095
20240328,04,8,3,5046,5046,52.83,1,NIGE,1,12.774000000000001,12.702,,2.0,12.427,12.5,0.0,,0,1.0,50.0,3.0,3.0,52.63,35.53,0,0.0,松山 裕基,31.45,1,0.15,0.07200000000000095
20240328,04,8,4,5219,5219,53.13,1,NIGE,1,12.774000000000001,12.702,,2.0,12.31,7.1,1.0,,,0.0,28.5,3.0,1.0,55.75,40.23,0,0.0,森口 和紀,31.88,1,0.19,0.07200000000000095
20240328,04,8,5,5051,5051,57.32,1,NIGE,1,12.774000000000001,12.702,,2.0,15.802,11.3,0.0,,0,2.0,68.1,3.0,3.0,58.75,39.38,0,0.0,松本 純平,37.58,1,0.17,0.07200000000000095
20240328,04,8,6,5274,5274,45.0,1,NIGE,1,12.774000000000001,12.702,,2.0,10.21,1.0,0.0,,0,0.0,4.2,3.0,1.0,63.82,40.79,0,0.0,城間 盛渚,27.5,1,0.22,0.07200000000000095
20240328,04,9,1,5197,5197,42.31,3,SASHI,4,13.554333333333332,143165588.23,6.71,1.0,12.389,18.7,0.0,0.11,0,0.0,75.0,3.0,0.0,51.28,37.18,0,0.0,中野 仁照,28.85,1,0.16,-143165574.67566666
20240328,04,9,2,5127,5127,33.57,4,SASHI,2,13.554333333333332,143165588.23,6.69,1.0,9.895,0.0,0.0,0.15,0,0.0,50.0,3.0,0.0,48.0,34.67,0,0.0,沼田 大都,23.57,1,0.22,-143165574.67566666
20240328,04,9,3,5179,5179,52.8,6,SASHI,1,13.554333333333332,143165588.23,6.65,1.0,429496742.406,6.9,0.0,0.18,0,0.0,13.7,3.0,0.0,53.57,36.43,0,2.0,藤本 元輝,34.78,1,0.19,-143165574.67566666
20240328,04,9,4,5130,5130,53.9,2,SASHI,3,13.554333333333332,143165588.23,6.7,1.0,13.908,6.6,2.0,0.01,1,0.0,30.0,3.0,0.0,47.85,33.13,0,0.0,上野 拓馬,37.66,1,0.18,-143165574.67566666
20240328,04,9,5,5077,5077,54.49,1,SASHI,4,13.554333333333332,143165588.23,6.71,1.0,12.975999999999999,8.3,0.0,0.0003,0,0.0,12.5,3.0,1.0,48.26,32.56,0,1.0,滝沢 崚,34.62,1,0.17,-143165574.67566666
20240328,04,9,6,5298,5298,59.24,5,SASHI,5,13.554333333333332,143165588.23,6.82,1.0,13.779,1.6,1.0,0.17,0,0.0,14.2,3.0,0.0,48.08,31.41,0,1.0,水谷 理人,40.13,1,0.15,-143165574.67566666
20240328,07,10,1,4089,4089,43.98,2,MAKURI,4,14.444999999999999,14.629,6.82,4.0,13.887,67.6,0.0,0.11,0,1.0,90.1,2.0,0.0,47.06,27.27,0,0.0,妹尾 忠幸,31.93,0,0.16,-0.18400000000000105
20240328,07,10,2,5008,5008,55.56,3,MAKURI,1,14.444999999999999,14.629,6.67,4.0,14.746999999999998,0.0,0.0,0.14,0,0.0,57.1,2.0,0.0,58.54,39.63,0,0.0,羽野 諒,39.87,0,0.14,-0.18400000000000105
20240328,07,10,3,4919,4919,55.61,4,MAKURI,1,14.444999999999999,14.629,6.67,4.0,15.252999999999998,11.5,0.0,0.15,0,1.0,53.8,2.0,2.0,51.72,37.36,0,0.0,吉田 翔悟,40.11,0,0.16,-0.18400000000000105
20240328,07,10,4,4377,4377,55.88,3,MAKURI,2,14.444999999999999,14.629,6.77,4.0,15.292999999999997,15.3,2.0,0.14,0,0.0,79.4,2.0,3.0,55.38,38.17,0,1.0,濱本 優一,39.41,0,0.16,-0.18400000000000105
20240328,07,10,5,4156,4156,54.74,5,MAKURI,3,14.444999999999999,14.629,6.8,4.0,13.584,7.5,1.0,0.22,0,0.0,50.9,2.0,2.0,56.76,35.68,0,1.0,浜野 孝志,33.68,0,0.17,-0.18400000000000105
20240328,07,10,6,4080,4080,49.22,1,MAKURI,5,14.444999999999999,14.629,6.83,4.0,14.457999999999998,12.5,0.0,0.07,0,0.0,37.5,2.0,1.0,44.12,26.47,0,0.0,山崎 哲司,34.72,0,0.13,-0.18400000000000105
20240328,07,11,1,4983,4983,61.93,4,NIGE,3,15.921333333333331,14.12833333333333,6.76,3.0,18.951999999999998,61.1,0.0,0.05,0,2.0,87.0,1.0,0.0,45.25,30.73,0,0.0,前田 篤哉,48.3,0,0.15,1.793000000000001
20240328,07,11,2,3339,3339,43.96,4,NIGE,6,15.921333333333331,14.12833333333333,6.82,3.0,11.626,10.3,1.0,0.05,0,1.0,48.2,1.0,0.0,51.11,37.78,0,0.0,泉 具巳,29.12,0,0.16,1.793000000000001
20240328,07,11,3,5014,5014,45.81,3,NIGE,1,15.921333333333331,14.12833333333333,6.73,3.0,11.806999999999999,2.7,0.0,0.0003,0,0.0,55.5,1.0,1.0,41.06,26.49,0,0.0,梶山 涼斗,28.49,0,0.15,1.793000000000001
20240328,07,11,4,3931,3931,59.65,1,NIGE,2,15.921333333333331,14.12833333333333,6.74,3.0,15.67,27.2,1.0,0.0001,0,1.0,70.4,1.0,2.0,48.47,30.06,0,8.0,黒崎 竜也,38.6,0,0.15,1.793000000000001
20240328,07,11,5,4172,4172,59.39,2,NIGE,4,15.921333333333331,14.12833333333333,6.78,3.0,17.379,7.5,0.0,0.0002,0,1.0,52.5,1.0,2.0,54.95,36.26,0,0.0,森定 晃史,43.03,0,0.16,1.793000000000001
20240328,07,11,6,4402,4402,56.67,2,NIGE,5,15.921333333333331,14.12833333333333,6.81,3.0,14.715,5.5,0.0,0.0002,0,0.0,30.5,1.0,2.0,51.98,36.72,0,0.0,乙藤 智史,36.11,0,0.21,1.793000000000001
20240328,07,12,1,4308,4308,49.08,6,NIGE,1,15.405000000000001,143165592.46033332,6.67,4.0,429496743.696,65.6,0.0,0.1,0,0.0,95.5,2.0,0.0,50.6,35.12,0,0.0,河村 了,33.74,0,0.13,-143165577.05533332
20240328,07,12,2,4189,4189,64.33,5,NIGE,3,15.405000000000001,143165592.46033332,6.72,4.0,17.232,14.5,6.0,0.01,0,1.0,60.0,2.0,0.0,55.79,35.26,0,0.0,川上 剛,44.44,0,0.16,-143165577.05533332
20240328,07,12,3,4051,4051,59.48,1,NIGE,3,15.405000000000001,143165592.46033332,6.72,4.0,16.452999999999996,28.9,2.0,0.0005,0,0.0,76.3,2.0,5.0,49.06,33.96,0,4.0,清水 敦揮,39.87,0,0.16,-143165577.05533332
20240328,07,12,4,4033,4033,55.5,3,NIGE,4,15.405000000000001,143165592.46033332,6.78,4.0,14.260999999999997,24.0,0.0,0.0009,0,0.0,64.8,2.0,3.0,55.49,37.36,0,10.0,伊藤 将吉,34.55,0,0.14,-143165577.05533332
20240328,07,12,5,4590,4590,56.1,2,NIGE,5,15.405000000000001,143165592.46033332,6.79,4.0,15.945000000000002,9.3,0.0,0.0008,0,1.0,69.7,2.0,2.0,36.6,22.22,0,1.0,渡邉 優美,39.63,0,0.13,-143165577.05533332
20240328,07,12,6,4384,4384,64.46,4,NIGE,2,15.405000000000001,143165592.46033332,6.7,4.0,16.009,0.0,0.0,0.0014000000000000002,0,0.0,36.5,2.0,0.0,58.72,38.37,0,0.0,鶴本 崇文,41.57,0,0.21,-143165577.05533332
20240328,07,1,1,3831,3831,48.5,2,NIGE,2,143165589.91633335,13.524000000000001,6.78,4.0,14.001000000000001,31.4,0.0,0.0003,0,2.0,60.0,2.0,0.0,54.44,42.78,0,0.0,安藤 裕貴,37.13,0,0.15,143165576.39233336
20240328,07,1,2,4071,4071,54.97,1,NIGE,3,143165589.91633335,13.524000000000001,6.79,4.0,13.879,15.3,5.0,0.0002,0,0.0,64.1,2.0,0.0,42.24,26.71,0,1.0,古賀 千晶,34.55,0,0.16,143165576.39233336
20240328,07,1,3,4943,4943,44.07,3,NIGE,1,143165589.91633335,13.524000000000001,6.77,4.0,12.691999999999998,2.6,0.0,0.0004,0,0.0,50.0,2.0,1.0,56.0,37.71,0,0.0,八木 治樹,31.64,0,0.15,143165576.39233336
20240328,07,1,4,4402,4402,56.67,6,NIGE,3,143165589.91633335,13.524000000000001,6.79,4.0,429496743.915,12.1,0.0,0.0008,0,1.0,60.6,2.0,0.0,51.98,36.72,0,3.0,乙藤 智史,36.11,0,0.16,143165576.39233336
20240328,07,1,5,3347,3347,50.0,5,NIGE,4,143165589.91633335,13.524000000000001,6.81,4.0,13.286999999999999,10.0,2.0,0.0007000000000000001,0,0.0,40.0,2.0,2.0,48.05,34.42,0,0.0,矢後 剛,33.51,0,0.18,143165576.39233336
