hd,jcd,rno,lane,racer_id,racer_name,grade,age,weather_sky,wind_dir,wind_speed_m,wave_height_cm,title,decision,national_win,national_2r,national_3r,local_win,local_2r,local_3r,motor_id,motor_rate2,motor_rate3,boat_id,boat_rate2,boat_rate3,weightKg,tiltDeg,tenji_sec,tenji_st,isF_tenji,course_first_rate,course_3rd_rate,course_avg_st,kimarite_makuri,kimarite_sashi,kimarite_makuri_sashi,kimarite_nuki,tenji_rank,st_rank,power_lane,power_inner,power_outer,outer_over_inner,st_diff_4_vs_3,st_diff_5_vs_4,st_diff_6_vs_5,dash_attack_flag,is_strong_wind,is_crosswind,label_3t
20240219,01,3,4,4808,松尾 拓,A1,35,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.05,45.76,57.63,6.44,40.74,55.56,31.0,29.17,50.0,70.0,21.88,40.63,52.0,-0.5,6.75,0.0006,1,20.5,70.5,0.14,5.0,1.0,1.0,0.0,3,2,12.681000000000001,15.003666666666668,12.115333333333334,-2.8883333333333336,-0.0094,0.13940000000000002,-0.08000000000000002,0,0,0,1-3-5
20240219,01,3,5,4420,津久井 拓也,A2,36,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.13,44.35,62.1,5.69,39.52,57.49,68.0,37.14,45.71,51.0,40.82,51.02,52.4,-0.5,6.73,0.14,0,6.7,33.9,0.16,2.0,0.0,1.0,1.0,2,5,14.82,15.003666666666668,12.115333333333334,-2.8883333333333336,-0.0094,0.13940000000000002,-0.08000000000000002,0,0,0,1-3-5
20240219,01,3,6,4203,小倉 康典,B1,41,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,3.97,17.24,35.63,4.47,27.14,40.0,61.0,21.21,33.33,16.0,26.53,40.82,51.5,-0.5,6.76,0.06,0,0.0,13.7,0.18,0.0,0.0,0.0,0.0,4,4,8.845,15.003666666666668,12.115333333333334,-2.8883333333333336,-0.0094,0.13940000000000002,-0.08000000000000002,0,0,0,1-3-5
20240219,01,4,1,4623,中北 将史,B1,39,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,4.83,21.13,45.07,4.55,16.67,40.48,17.0,53.57,89.29,14.0,41.67,56.25,,,,,,41.6,77.7,0.16,0.0,0.0,0.0,0.0,1,1,19.368999999999996,15.780999999999999,15.332999999999998,-0.4480000000000004,,,,0,0,0,1-4-6
20240219,01,4,2,3852,澤 大介,A2,51,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,5.92,37.74,63.21,6.33,33.33,77.78,74.0,39.29,57.14,63.0,26.19,50.0,,,,,,36.1,77.7,0.15,2.0,9.0,0.0,2.0,1,1,15.738999999999999,15.780999999999999,15.332999999999998,-0.4480000000000004,,,,0,0,0,1-4-6
20240219,01,4,3,4261,岡 祐臣,A1,39,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.68,50.46,67.89,6.56,44.44,77.78,48.0,26.09,52.17,72.0,38.18,50.91,,,,,,17.0,63.8,0.16,3.0,0.0,1.0,4.0,1,1,12.235000000000001,15.780999999999999,15.332999999999998,-0.4480000000000004,,,,0,0,0,1-4-6
20240219,01,4,4,4049,荒川 健太,A2,43,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,5.97,39.25,65.42,0.0,0.0,0.0,43.0,24.24,54.55,40.0,34.55,50.91,,,,,,3.9,45.1,0.17,0.0,2.0,0.0,0.0,1,1,11.254,15.780999999999999,15.332999999999998,-0.4480000000000004,,,,,0,0,1-4-6
20240219,01,4,5,5063,大塚 雅治,B2,26,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,4.62,20.75,39.62,4.38,18.75,31.25,50.0,45.83,62.5,30.0,36.36,52.27,,,,,,0.0,21.0,0.16,0.0,0.0,0.0,0.0,1,1,16.920999999999996,15.780999999999999,15.332999999999998,-0.4480000000000004,,,,0,0,0,1-4-6
20240219,01,4,6,3448,高山 秀雄,B1,53,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,4.04,17.72,34.18,4.34,24.68,32.47,51.0,50.0,68.75,47.0,27.91,39.53,,,,,,0.0,15.1,0.18,0.0,0.0,0.0,0.0,1,1,17.823999999999998,15.780999999999999,15.332999999999998,-0.4480000000000004,,,,0,0,0,1-4-6
20240219,01,5,1,4615,板倉 敦史,B1,43,曇り,6,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,4.62,20.93,39.53,5.73,43.24,48.65,15.0,9.68,22.58,38.0,26.0,44.0,52.7,0.0,6.85,0.17,0,20.5,64.7,0.18,0.0,0.0,0.0,1.0,6,6,429496735.176,143165589.39400002,13.830333333333334,-143165575.5636667,0.06999999999999999,-0.09999999999999999,-0.049800000000000004,0,0,1,2-6-1
20240219,01,5,2,3406,中里 英夫,B1,55,曇り,6,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,5.32,30.77,52.14,6.13,42.86,63.87,24.0,45.71,60.0,41.0,36.17,53.19,52.4,-0.5,6.69,0.06,0,18.6,60.4,0.18,2.0,4.0,0.0,2.0,1,3,17.105,143165589.39400002,13.830333333333334,-143165575.5636667,0.06999999999999999,-0.09999999999999999,-0.049800000000000004,0,0,1,2-6-1
20240219,01,5,3,4889,後藤 盛也,A2,35,曇り,6,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,5.88,44.44,58.33,4.4,28.0,44.0,44.0,40.91,54.55,22.0,20.83,37.5,52.1,-0.5,6.75,0.08,0,22.5,67.7,0.12,0.0,1.0,6.0,0.0,4,4,15.900999999999998,143165589.39400002,13.830333333333334,-143165575.5636667,0.06999999999999999,-0.09999999999999999,-0.049800000000000004,0,0,1,2-6-1
20240219,01,5,4,5275,松田 淳平,B1,21,曇り,6,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,3.51,14.29,27.38,0.0,0.0,0.0,49.0,37.5,50.0,19.0,28.57,44.9,52.7,-0.5,6.7,0.15,0,0.0,16.2,0.18,0.0,0.0,0.0,0.0,2,5,13.356,143165589.39400002,13.830333333333334,-143165575.5636667,0.06999999999999999,-0.09999999999999999,-0.049800000000000004,0,0,1,2-6-1
20240219,01,5,5,3877,松浦 博人,B1,46,曇り,6,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,5.33,28.97,50.47,6.0,42.86,64.29,18.0,25.0,43.75,11.0,37.25,56.86,56.7,-0.5,6.77,0.05,0,0.0,48.4,0.18,0.0,0.0,0.0,0.0,5,2,10.998000000000001,143165589.39400002,13.830333333333334,-143165575.5636667,0.06999999999999999,-0.09999999999999999,-0.049800000000000004,0,0,1,2-6-1
20240219,01,5,6,4024,井口 佳典,A1,46,曇り,6,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,差し,7.06,47.62,60.0,7.47,47.06,64.71,38.0,41.67,58.33,44.0,34.09,47.73,52.0,-0.5,6.73,0.0002,1,6.0,30.3,0.15,1.0,0.0,1.0,0.0,3,1,17.136999999999997,143165589.39400002,13.830333333333334,-143165575.5636667,0.06999999999999999,-0.09999999999999999,-0.049800000000000004,0,0,1,2-6-1
20240219,01,6,1,4610,佐藤 大佑,A1,33,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,6.09,40.91,56.82,7.0,54.55,72.73,11.0,15.63,43.75,61.0,40.91,54.55,53.5,0.0,6.64,0.02,0,67.3,81.6,0.18,0.0,0.0,0.0,1.0,2,1,8.743,10.172000000000002,13.543666666666667,3.3716666666666644,-0.07,0.18,-0.19,0,0,0,1-3-6
20240219,01,6,2,3712,淺香 文武,B1,49,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,5.15,33.93,47.32,6.07,40.0,60.0,29.0,21.21,42.42,57.0,34.38,40.63,55.1,-0.5,6.8,0.02,0,16.2,62.1,0.14,1.0,5.0,0.0,0.0,4,1,9.853000000000002,10.172000000000002,13.543666666666667,3.3716666666666644,-0.07,0.18,-0.19,0,0,0,1-3-6
20240219,01,6,3,4270,岸本 雄貴,B1,41,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,3.7,17.0,32.0,4.67,33.33,55.56,45.0,32.0,48.0,28.0,30.0,52.0,63.5,-0.5,6.89,0.11,0,0.0,39.4,0.17,0.0,0.0,0.0,0.0,6,4,11.92,10.172000000000002,13.543666666666667,3.3716666666666644,-0.07,0.18,-0.19,0,0,0,1-3-6
20240219,01,6,4,4660,宇田川 信一,B1,32,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,3.42,11.24,25.84,3.89,22.22,33.33,55.0,39.39,57.58,55.0,30.43,60.87,52.0,0.0,6.63,0.04,0,0.0,27.0,0.19,0.0,0.0,0.0,0.0,1,3,14.068999999999999,10.172000000000002,13.543666666666667,3.3716666666666644,-0.07,0.18,-0.19,1,0,0,1-3-6
20240219,01,6,5,3889,須藤 隆雄,B1,48,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,4.05,22.83,30.43,4.51,26.67,37.78,37.0,35.48,61.29,62.0,33.33,48.89,54.7,-0.5,6.7,0.22,0,0.0,22.5,0.16,0.0,0.0,0.0,0.0,3,5,13.073999999999998,10.172000000000002,13.543666666666667,3.3716666666666644,-0.07,0.18,-0.19,0,0,0,1-3-6
20240219,01,6,6,4619,伏田 裕隆,B1,41,曇り,17,0.0,0.0,第35回日本MB選手会会長杯 3支部ガチ対決,逃げ,4.67,28.13,42.19,4.12,11.76,47.06,28.0,34.62,57.69,65.0,31.91,51.06,53.0,0.0,6.81,0.03,0,0.0,7.4,0.22,0.0,0.0,0.0,0.0,5,2,13.488,10.172000000000002,13.543666666666667,3.3716666666666644,-0.07,0.18,-0.19,0,0,0,1-3-6
20240219,01,7,1,4645,上村 純一,A1,43,曇り,6,1.0,1.0,第35回日本MB選手会会長杯 3支部ガチ対決,まくり,6.33,47.97,63.41,6.15,46.83,59.52,60.0,28.0,52.0,29.0,36.54,63.46,,,,,,75.0,92.3,0.13,0.0,0.0,0.0,1.0,1,1,12.598,11.011000000000001,12.956999999999999,1.945999999999998,,,,0,0,1,6-4-1
