hd,jcd,rno,lane,racer_id,st,tenji_st,course_avg_st,st_rank,power_lane
20240226,05,6,4,3778,,,0.18,6,429496741.476
20240226,05,6,5,4117,0.21,0.14,0.19,4,14.011
20240226,05,6,6,4300,0.15,0.21,0.18,5,13.44
20240226,05,7,1,4573,0.12,0.0003,0.13,2,13.608
20240226,05,7,2,4116,0.11,0.0005,0.19,3,14.239999999999998
20240226,05,7,3,4596,0.05,0.02,0.16,4,15.559
20240226,05,7,4,4075,0.13,0.08,0.13,5,15.228000000000002
20240226,05,7,5,5315,0.15,0.02,0.0,4,15.541
20240226,05,7,6,5290,0.08,0.0002,0.19,1,13.417
20240226,05,8,1,4283,0.06,0.11,0.18,5,13.065
20240226,05,8,2,4484,0.14,0.01,0.16,4,14.464
20240226,05,8,3,4961,0.11,0.0002,0.16,1,16.066
20240226,05,8,4,5287,0.19,0.0005,0.0,2,11.922
20240226,05,8,5,3207,0.25,0.0006,0.2,3,11.407999999999998
20240226,05,8,6,3579,0.2,0.11,0.17,5,11.289
20240226,05,9,1,4939,0.09,0.19,0.13,5,14.760000000000002
20240226,05,9,2,4016,0.17,0.07,0.15,2,11.969999999999999
20240226,05,9,3,3656,0.15,0.06,0.17,1,12.592
20240226,05,9,4,3256,0.14,0.12,0.14,4,14.458
20240226,05,9,5,5293,0.22,0.27,0.2,6,429496742.223
20240226,05,9,6,3941,0.18,0.09,0.13,3,15.589999999999998
20240226,06,10,1,4123,,,0.19,1,15.517
20240226,06,10,2,4705,,,0.16,1,16.243
20240226,06,10,3,4196,,,0.17,1,11.653
20240226,06,10,4,3583,,,0.19,1,11.851
20240226,06,10,5,5110,,,0.2,1,17.622999999999998
20240226,06,10,6,4787,,,0.12,1,14.317
20240226,06,11,1,5005,,,0.16,1,12.07
20240226,06,11,2,4305,,,0.14,1,18.099999999999998
20240226,06,11,3,4359,,,0.12,1,14.056
20240226,06,11,4,5086,,,0.14,1,12.397
20240226,06,11,5,3852,,,0.17,1,12.931000000000001
20240226,06,11,6,4442,,,0.18,1,14.172999999999998
20240226,06,12,1,4494,,,0.13,1,16.171
20240226,06,12,2,4377,,,0.15,1,12.391
20240226,06,12,3,3489,,,0.15,1,14.824
20240226,06,12,4,4930,,,0.16,1,13.333
20240226,06,12,5,3627,,,0.2,1,12.49
20240226,06,12,6,4066,,,0.19,1,15.421
20240226,06,1,1,4730,0.04,,0.19,1,16.671999999999997
20240226,06,1,2,5223,0.14,,0.21,1,10.669
20240226,06,1,3,4791,0.1,,0.19,1,11.953
20240226,06,1,4,5262,0.04,,0.16,1,11.206
20240226,06,1,5,5114,0.1,,0.16,1,14.938
20240226,06,1,6,3596,0.13,,0.19,1,12.49
20240226,06,2,1,4196,0.22,0.0,0.19,1,11.653
20240226,06,2,2,3744,0.13,0.0002,0.15,2,13.665
20240226,06,2,3,3928,0.21,0.02,0.16,3,13.148
20240226,06,2,4,5103,0.18,0.27,0.18,6,429496743.924
20240226,06,2,5,5034,0.33,0.04,0.18,4,12.744999999999997
20240226,06,2,6,5086,0.26,0.06,0.17,5,11.997
20240226,06,3,1,4705,0.14,0.0006,0.18,1,16.243
20240226,06,3,2,3065,0.21,0.06,0.19,3,13.255999999999998
20240226,06,3,3,3623,0.09,0.04,0.13,2,16.23
20240226,06,3,4,4974,0.15,0.41,0.16,4,12.888999999999998
20240226,06,3,5,4066,0.2,0.53,0.16,5,15.020999999999999
20240226,06,3,6,3802,0.14,0.41,0.19,4,15.772
20240226,06,4,1,4930,0.15,0.0013,0.16,2,13.233
20240226,06,4,2,4489,0.13,0.15,0.15,5,16.839
20240226,06,4,3,5248,0.22,0.08,0.18,4,11.085999999999999
20240226,06,4,4,4123,0.23,0.0001,0.17,1,15.517
20240226,06,4,5,4442,0.26,0.03,0.17,3,13.972999999999997
20240226,06,4,6,5009,0.28,0.24,0.17,6,429496741.62
20240226,06,5,1,3489,0.04,0.09,0.16,5,14.424
20240226,06,5,2,3807,0.15,0.04,0.18,4,16.66
20240226,06,5,3,4730,0.12,0.01,0.19,2,16.572
20240226,06,5,4,4498,0.12,0.0006,0.15,1,13.126000000000001
20240226,06,5,5,3583,0.14,0.03,0.18,3,11.651
20240226,06,5,6,4359,0.11,0.03,0.14,3,13.855999999999998
20240226,06,6,1,3852,0.03,,0.17,1,12.931000000000001
20240226,06,6,2,5103,0.11,,0.15,1,14.824
20240226,06,6,3,3627,0.09,,0.18,1,12.49
20240226,06,6,4,4787,0.12,,0.12,1,14.317
20240226,06,6,5,5223,0.19,,0.19,1,10.669
20240226,06,6,6,5197,0.08,,0.17,1,13.501000000000001
20240226,06,7,1,5114,0.12,0.1,0.14,1,14.938
20240226,06,7,2,3928,0.18,0.11,0.18,2,13.248000000000001
20240226,06,7,3,3811,0.14,0.15,0.14,3,16.409
20240226,06,7,4,4377,0.15,0.19,0.16,4,12.091
20240226,06,7,5,4419,0.14,0.19,0.16,4,15.184
20240226,06,7,6,4305,0.18,0.24,0.19,5,17.7
20240226,06,8,1,4626,0.06,0.0024,0.16,4,12.283
20240226,06,8,2,4974,0.21,0.0009,0.16,3,12.988999999999997
20240226,06,8,3,5034,0.13,0.0002,0.15,1,13.044999999999998
20240226,06,8,4,3596,0.14,0.0007000000000000001,0.16,2,12.39
20240226,06,8,5,4494,0.16,0.0007000000000000001,0.14,2,16.070999999999998
20240226,06,8,6,4489,0.19,0.05,0.21,5,16.839
20240226,06,9,1,3951,0.21,0.0012,0.17,2,15.906
20240226,06,9,2,5248,0.26,0.01,0.12,3,11.185999999999998
20240226,06,9,3,5262,0.26,0.03,0.13,4,10.905999999999999
20240226,06,9,4,3623,0.18,0.0003,0.07,1,16.33
20240226,06,9,5,3744,0.28,0.03,0.12,4,13.464999999999998
20240226,06,9,6,4498,0.19,0.08,0.16,5,12.726
20240226,07,10,1,4360,0.16,0.05,0.19,2,12.998999999999999
20240226,07,10,2,5196,0.24,0.19,0.15,4,13.807
20240226,07,10,3,3746,0.4,0.23,0.16,5,12.402
20240226,07,10,4,5129,0.21,0.17,0.18,3,14.267
20240226,07,10,5,4834,0.24,0.05,0.15,2,13.824000000000002
20240226,07,10,6,4472,0.18,0.01,0.14,1,21.240999999999996
20240226,07,11,1,4856,0.26,0.0001,0.14,1,13.528
20240226,07,11,2,3054,0.28,0.06,0.14,5,17.381999999999998
20240226,07,11,3,4110,0.25,0.08,0.16,6,429496744.557
20240226,07,11,4,3719,0.21,0.0012,0.12,4,18.241
20240226,07,11,5,4665,0.24,0.0003,0.15,2,15.3
20240226,07,11,6,4533,0.25,0.0004,0.21,3,15.172999999999998
20240226,07,12,1,4852,0.05,0.0001,0.13,1,16.837
20240226,07,12,2,4150,0.06,0.07,0.13,5,15.482999999999999
20240226,07,12,3,4835,0.09,0.01,0.17,3,12.259999999999998
20240226,07,12,4,3946,0.04,0.0006,0.16,2,15.0
20240226,07,12,5,4055,0.13,0.05,0.14,4,14.746
20240226,07,12,6,4512,0.14,0.0001,0.15,1,15.738999999999999
20240226,07,1,1,4665,0.02,0.09,0.15,6,429496744.5
20240226,07,1,2,4679,0.06,0.01,0.2,4,14.113000000000001
20240226,07,1,3,5196,0.01,0.0003,0.14,2,14.007000000000001
20240226,07,1,4,4025,0.21,0.0002,0.17,1,15.630999999999998
20240226,07,1,5,4853,0.09,0.08,0.17,5,12.767999999999999
20240226,07,1,6,4569,0.03,0.0008,0.2,3,16.435999999999996
20240226,07,2,1,4014,0.11,0.15,0.19,4,12.67
20240226,07,2,2,4780,0.14,0.11,0.17,3,12.616999999999999
20240226,07,2,3,5129,0.13,0.05,0.23,1,14.467
20240226,07,2,4,3963,0.08,0.06,0.17,2,13.773
20240226,07,2,5,4329,0.13,0.05,0.2,1,13.195000000000002
20240226,07,2,6,3054,0.14,0.05,0.18,1,17.781999999999996
20240226,07,3,1,3869,0.34,0.0012,0.15,4,14.547999999999998
20240226,07,3,2,4940,0.44,0.001,0.18,2,14.058
20240226,07,3,3,4852,0.44,0.0001,0.16,1,16.837
20240226,07,3,4,4533,0.39,0.0021,0.17,6,429496744.473
20240226,07,3,5,3746,0.45,0.0018,0.19,5,12.402
20240226,07,3,6,4093,0.47,0.0011,0.25,3,13.52
20240226,07,4,1,4110,0.21,0.0014000000000000002,0.12,4,15.157000000000002
20240226,07,4,2,5189,0.28,0.0011,0.16,3,11.344999999999999
20240226,07,4,3,4472,0.19,0.0006,0.15,1,21.240999999999996
20240226,07,4,4,4511,0.17,0.05,0.17,5,14.271
20240226,07,4,5,3842,0.16,0.0006,0.18,1,13.741000000000001
20240226,07,4,6,4835,0.23,0.001,0.14,2,12.36
20240226,07,5,1,4834,0.24,0.0,0.17,1,13.924000000000001
20240226,07,5,2,4891,0.33,0.48,0.16,6,429496746.204
20240226,07,5,3,4512,0.33,0.09,0.15,2,15.639
20240226,07,5,4,4956,0.29,0.42,0.17,5,14.196
20240226,07,5,5,3542,0.27,0.28,0.36,4,12.556
20240226,07,5,6,3719,0.19,0.25,0.16,3,18.340999999999998
20240226,07,6,1,5133,0.19,0.25,0.14,5,15.522
20240226,07,6,2,4853,0.27,0.0002,0.16,1,13.168
20240226,07,6,3,4360,0.25,0.0003,0.17,2,12.998999999999999
20240226,07,6,4,4329,0.45,0.02,0.16,3,12.995000000000001
