hd,jcd,rno,lane,regno,st_pred_sec,st_rel_sec,st_rank_in_race,dash_advantage,wall_weak_flag,proba_nige,proba_sashi,proba_makuri,proba_makuri_sashi,proba_win,wind_speed_m,kimarite_sashi,is_crosswind,boat_rate3,is_strong_wind,racer_id,dash_attack_flag,kimarite_makuri,power_lane,power_outer,course_avg_st,outer_over_inner,wave_height_cm,power_inner,decision4,motor_rate2,racer_name,kimarite_nuki,tenji_st,boat_rate2,motor_rate3,course_first_rate,kimarite_makuri_sashi,st_rank,tenji_sec,course_3rd_rate,tenji_rank
20240301,02,6,4,4099,0.15555461056449058,0.03732170965351399,3,-0.049722588161474596,0,0.0,0.378520105779956,0.5207298598580119,0.10074752811827521,0.07319583332225799,8.0,2.0,1,40.77,1,4099,1,1.0,16.489,143165590.51299998,0.16,143165576.27266666,6.0,14.240333333333332,SASHI,40.27,吉永 則雄,0.0,0.0002,24.62,55.7,10.2,2.0,1,6.89,65.3,3
20240301,02,6,5,4957,0.18578058816969717,0.06754768725872058,4,-0.049722588161474596,0,0.0,0.5080996384037908,0.40743684809301045,0.0844601040294371,0.03981386809945707,8.0,0.0,1,63.64,1,4957,0,0.0,12.335,143165590.51299998,0.15,143165576.27266666,6.0,14.240333333333332,SASHI,30.37,竹之内 極,1.0,0.0008,45.45,48.89,4.1,1.0,3,6.91,39.5,4
20240301,02,6,6,3813,0.28047225013880056,0.16223934922782396,6,-0.049722588161474596,0,0.0,0.4963505780952431,0.3833774456154689,0.12026864607204041,0.002978839855219129,8.0,0.0,1,42.11,1,3813,0,0.0,429496742.715,143165590.51299998,0.19,143165576.27266666,6.0,14.240333333333332,SASHI,30.83,佐藤 大介,0.0,0.21,27.07,45.11,0.0,0.0,6,7.08,32.3,5
20240301,02,7,1,3679,0.09568410056581894,0.0,1,-0.001916188562254506,0,0.9999974254876146,0.0,0.0,0.0,0.4281240269895028,7.0,0.0,1,60.61,1,3679,0,0.0,11.788999999999998,12.475666666666667,0.13,1.0310000000000024,5.0,11.444666666666665,NIGE,25.83,飯島 昌弘,1.0,0.11,43.94,40.0,71.1,0.0,3,6.89,97.7,2
20240301,02,7,2,3377,0.17043378707971293,0.07474968651389399,3,-0.001916188562254506,0,0.0,0.3196148317176324,0.6094417708076697,0.07093974511342126,0.040493026902213805,7.0,0.0,1,47.52,1,3377,0,1.0,13.278999999999998,12.475666666666667,0.19,1.0310000000000024,5.0,11.444666666666665,NIGE,34.69,塚田 修二,0.0,0.22,32.62,53.06,3.8,0.0,4,6.88,46.1,1
20240301,02,7,3,3293,0.2651409533774966,0.16945685281167766,6,-0.001916188562254506,0,0.0,0.20841172838010127,0.7080953791276775,0.08348775786408759,0.004363927340543997,7.0,1.0,1,39.13,1,3293,0,0.0,9.265999999999998,12.475666666666667,0.21,1.0310000000000024,5.0,11.444666666666665,NIGE,22.32,宮内 由紀英,0.0,0.11,25.22,41.07,6.0,1.0,3,7.02,45.4,5
20240301,02,7,4,5008,0.17313432804441747,0.07745022747859853,4,-0.001916188562254506,0,0.0,0.1820958196292113,0.7682988746438689,0.0496021646467127,0.006211564444518247,7.0,0.0,1,47.37,1,5008,1,2.0,13.943999999999999,12.475666666666667,0.13,1.0310000000000024,5.0,11.444666666666665,NIGE,36.36,羽野 諒,0.0,0.09,34.59,52.45,10.3,1.0,2,6.95,51.7,4
20240301,02,7,5,5259,0.23523569894936117,0.13955159838354222,5,-0.001916188562254506,0,0.0,0.5630220102697192,0.31624779241035084,0.12072578244435246,0.001383271538805116,7.0,0.0,1,33.85,1,5259,0,1.0,10.447,12.475666666666667,0.19,1.0310000000000024,5.0,11.444666666666665,NIGE,29.49,野田 昇吾,0.0,0.04,16.92,46.79,4.0,0.0,1,6.9,12.0,3
20240301,02,7,6,3642,0.12863737971601333,0.03295327915019439,2,-0.001916188562254506,0,0.0,0.17114858198817903,0.7937992140835615,0.035049188662232306,0.028879794507624502,7.0,0.0,1,42.31,1,3642,0,0.0,13.036,12.475666666666667,0.19,1.0310000000000024,5.0,11.444666666666665,NIGE,34.72,大塚 浩二,0.0,0.04,29.23,47.22,0.0,0.0,1,6.95,17.2,4
20240301,02,8,1,3202,0.20031414367976996,0.09077020077323836,4,-0.07702917079013716,1,0.9999905986894237,0.0,0.0,0.0,0.1107558978089842,7.0,0.0,1,44.0,1,3202,0,0.0,9.567,143165591.10233334,0.18,143165577.37833333,6.0,13.723999999999998,MAKURI,22.95,三品 隆浩,1.0,0.14,25.6,40.16,19.3,0.0,2,6.87,77.4,3
